email,customer_id,employee_index,country,sex,age,joindate,customer_index6,customer_life,customer_relation,res_index,for_index,prov_code,prov_name,activity_index,income,segmentation,CheckingAccount,SavingsAccount,CreditCard,HomeLoan,AutoLoan,InvestmentAccount,RetirementAccount,MoneyMarketAccount,CDAccount,DebitCard,OnlineBanking,Mortgage,DirectDeposit,Pension,BillPay,PersonalLoan,BrokerageAccount,TrustAccount,OverdraftProtection,PrepaidCard,MoneyTransfer,DirectDebit,BusinessAccount,SafeDepositBox
vabbott@example.org,7784024,N,MX,O,55,10/08/21,2,10,C,N,S,52.0,Johnsonview,0.5235788470141737,131864.64140371716,Premium,0,0,0,1,0,0,0,1,1,0,1,1,,,1,0,1,0,1,1,0,1,0,0
misty54@example.com,5282059,S,US,F,55,10/10/15,5,16,A,N,N,49.0,Lloydhaven,,138427.5070310408,Premium,0,1,0,0,0,0,0,0,1,0,0,0,1.0,1.0,0,1,0,1,1,0,0,0,1,1
bmoore@example.net,6189121,S,MX,M,30,08/01/24,4,11,B,N,S,20.0,Careyside,0.4775649869035392,63865.45003142259,Individual,1,1,0,0,1,1,1,1,1,0,1,0,1.0,1.0,1,1,0,1,0,0,0,1,1,1
perezscott@example.com,7328348,S,MX,M,54,21/11/20,7,5,C,N,N,,Tamiview,0.7598987147082557,92085.61294359718,Premium,0,1,0,0,1,0,1,0,1,0,1,1,0.0,0.0,0,0,0,0,0,0,1,1,0,0
brian73@example.com,2034814,N,MX,F,43,10/04/16,8,9,B,S,N,40.0,Ronaldville,0.7278563077430557,198342.69075502182,Individual,1,1,1,0,0,1,1,1,1,1,0,1,1.0,,1,0,0,1,1,0,0,1,1,0
monica14@example.org,9506359,N,US,O,68,06/11/16,7,4,B,N,N,1.0,Davisside,0.7540954643596575,116598.62471880879,Premium,1,0,0,0,0,0,1,1,1,0,1,0,1.0,1.0,1,1,1,0,1,1,1,1,1,0
hharris@example.net,5174901,N,CA,O,77,27/04/18,10,15,C,S,N,37.0,North Tonyberg,,133800.75820839958,Individual,1,0,0,0,1,1,0,1,0,1,0,0,,,0,0,1,1,0,0,0,1,0,0
martinezpatricia@example.com,8411999,N,MX,O,54,14/08/20,7,19,A,N,N,47.0,Lake Melanie,0.12231872802076393,120688.61821947804,Premium,1,0,0,0,0,1,1,1,0,1,1,1,1.0,1.0,1,0,0,0,1,1,0,0,0,1
ssimpson@example.com,3256223,S,MX,M,74,22/02/16,3,19,A,N,N,40.0,New Robert,0.934574556087592,172043.66051313138,Individual,0,1,1,1,1,0,1,1,0,1,1,1,1.0,,0,0,0,1,0,0,1,0,1,1
sbradley@example.com,4131337,S,CA,O,19,04/04/20,3,6,C,N,N,8.0,Aguilartown,0.3401102000861498,83148.54811729671,Premium,1,0,0,1,1,1,1,1,1,0,0,1,0.0,1.0,1,1,0,1,1,1,0,0,0,1
shelleyjacobs@example.net,4424988,S,CA,M,22,26/01/25,6,13,B,N,S,,Port Marystad,0.9935924500240614,123463.41038649644,Business,0,1,1,0,0,1,0,1,0,1,0,1,1.0,,1,1,1,0,0,0,0,1,0,0
moralesmarcus@example.net,8246683,S,CA,O,56,10/04/20,9,17,B,N,N,16.0,West Antonioshire,0.3709929139861422,139141.3656506087,Business,0,1,0,1,1,1,0,1,0,1,1,1,1.0,1.0,1,0,0,0,1,1,0,0,1,1
williamsonashley@example.net,6930718,N,CA,M,36,23/02/20,1,11,B,S,N,15.0,West Sara,0.26370668273183695,179469.81390649456,Individual,0,0,1,1,1,1,0,1,1,0,0,0,,1.0,0,0,0,0,1,1,0,1,0,0
xduarte@example.org,2281113,S,US,M,71,17/08/24,7,5,B,N,N,52.0,Port Matthewside,,43795.000314350276,Business,0,1,1,0,1,0,1,1,1,1,0,1,0.0,,1,1,0,1,0,1,0,0,1,1
joseph19@example.net,4649616,N,MX,F,42,13/05/21,7,8,A,N,S,,West Mark,0.2218717874341941,20404.870741415758,Premium,0,0,1,0,0,1,1,0,0,0,0,1,1.0,0.0,1,1,1,1,1,1,1,1,1,0
smithandrea@example.net,7816514,S,MX,F,28,16/08/20,10,20,A,S,N,33.0,West Lisabury,0.023833010108012864,130081.8286169159,Premium,0,1,1,1,1,0,0,0,0,0,0,0,,0.0,0,1,1,1,0,1,0,0,1,0
allenduran@example.org,7777095,N,US,O,19,29/07/16,9,14,A,N,N,39.0,Fishermouth,0.3612991761818065,179703.12605009272,Individual,1,0,0,1,0,1,1,1,0,1,0,1,0.0,1.0,0,1,0,1,0,1,0,0,0,1
joyce53@example.org,6425734,N,US,O,27,20/05/22,2,17,A,N,S,,Port Edward,0.45909490766367567,92694.97077122984,Individual,0,0,1,1,1,1,0,1,0,0,1,0,0.0,,1,1,0,0,1,1,1,0,1,1
williamsjoseph@example.com,7617378,S,CA,F,47,20/04/23,3,17,A,S,S,34.0,New Herbertmouth,0.053598727804307855,84050.95169890836,Premium,1,1,1,0,0,0,1,1,1,1,0,0,0.0,,0,0,1,1,0,0,1,1,1,0
kmitchell@example.net,1812093,N,CA,M,41,02/09/22,9,12,A,N,N,54.0,Lake Brian,,132889.0499644584,Premium,0,0,1,1,1,1,0,0,0,1,1,1,1.0,1.0,0,1,1,0,1,1,1,1,0,1
debbie12@example.org,8708691,S,US,M,21,30/09/18,4,14,C,N,N,26.0,Donnaport,0.5020393800540677,29872.78609318627,Business,0,1,1,1,0,0,0,1,0,1,0,1,,0.0,0,1,1,0,0,0,1,1,0,0
joyguerrero@example.com,2738733,S,US,F,18,29/09/24,8,13,A,S,N,50.0,Port Emily,0.5963062475609933,149567.6810092521,Premium,1,1,0,0,0,0,0,1,0,1,1,1,0.0,0.0,0,0,1,0,1,1,0,1,0,1
icampbell@example.com,6123490,S,US,F,62,23/05/19,0,8,B,S,N,54.0,Joshualand,0.5649756001955848,46793.730883357886,Individual,1,0,1,1,0,0,1,1,0,1,1,1,,1.0,1,0,0,1,0,1,0,0,0,1
zhenry@example.net,2498293,S,US,O,50,09/03/24,7,5,B,N,S,56.0,Hendersonville,0.17372831518018905,26994.945632879295,Business,0,1,0,0,1,1,0,1,0,1,0,1,1.0,0.0,0,0,0,0,0,0,1,1,1,0
seanwright@example.com,5083183,S,CA,M,42,25/10/21,9,13,B,S,N,14.0,Brendaville,0.7643251788512592,39377.461724003835,Individual,0,1,1,0,0,1,0,0,1,1,0,1,1.0,,1,1,0,0,0,0,0,1,0,1
lbryant@example.org,1092450,S,MX,O,22,25/09/20,3,8,C,S,N,7.0,Richardview,0.30913849808693505,162312.97126075107,Individual,0,1,0,1,0,1,1,0,0,1,0,0,1.0,1.0,1,0,0,1,1,0,0,1,1,1
acostarobin@example.net,3906329,S,CA,F,59,13/12/20,1,8,B,N,S,19.0,Lake Stephanie,0.18911463561227104,183180.3443274242,Business,1,1,0,0,0,1,0,1,1,1,1,1,0.0,1.0,0,0,1,0,0,1,0,1,0,0
ugarcia@example.net,2813300,S,US,F,24,20/01/16,5,17,C,S,S,52.0,Port Rebecca,0.8498641404558519,189244.15841854535,Premium,0,1,1,1,0,0,1,1,0,0,1,1,0.0,1.0,1,1,1,0,0,1,1,0,1,1
quinnchristopher@example.com,2052501,N,CA,O,55,05/04/20,9,16,C,S,S,35.0,Hutchinsonburgh,0.16070065868488426,86511.58676919402,Business,1,0,1,1,1,1,1,1,0,1,0,0,0.0,1.0,0,0,1,1,0,1,1,0,1,0
crodriguez@example.net,5697808,N,US,F,70,03/06/22,2,3,C,N,N,44.0,Butlerview,0.2885829044445638,195936.09245131933,Individual,0,0,1,1,0,1,0,0,0,1,0,1,0.0,0.0,0,0,1,0,0,1,1,1,0,0
molly58@example.com,3657361,N,US,M,50,02/01/22,10,10,B,S,S,4.0,North Austin,0.15640020830798063,48503.78826792049,Business,0,0,1,1,0,0,1,1,0,1,0,0,0.0,1.0,1,0,0,0,1,1,1,1,0,0
erik68@example.com,3018935,N,MX,F,56,26/04/24,0,19,C,S,S,14.0,New Sethbury,0.8245212255153178,73531.63046963581,Individual,0,1,1,1,0,1,1,1,1,0,0,0,1.0,1.0,1,1,0,0,0,0,0,1,1,1
nnguyen@example.org,5405876,S,CA,M,52,20/09/24,8,15,A,N,S,1.0,Cooperport,0.4666253562213504,84102.95823594692,Premium,1,1,1,1,0,0,0,0,0,1,1,0,0.0,1.0,1,0,1,0,1,0,0,0,1,1
knightpatrick@example.com,7769684,S,US,M,41,07/03/16,6,18,B,N,S,47.0,Robinsonchester,0.2237533989791739,188598.05095584004,Premium,0,1,0,1,1,0,1,1,0,1,1,0,0.0,,0,0,1,0,0,0,1,1,0,1
umata@example.net,4096103,S,MX,M,43,08/11/22,8,17,B,S,N,21.0,Port Lisa,0.6391399638873736,116349.70901342476,Premium,0,0,0,1,0,1,1,1,1,0,1,0,,,1,0,0,0,0,1,0,1,1,0
kaylaperez@example.com,9140900,S,US,F,45,29/09/20,10,4,A,S,N,33.0,Staceyshire,0.4000394529639153,174701.70911938784,Individual,0,0,0,0,0,1,0,0,1,1,1,1,0.0,,1,1,1,1,0,0,0,1,1,0
pchavez@example.org,7932587,N,MX,M,77,15/05/23,2,8,B,S,S,11.0,South Anthony,0.6722607422599081,130428.27814553095,Individual,0,1,1,0,1,1,1,1,1,0,1,1,0.0,,1,0,1,0,1,1,1,0,1,0
hopkinschristopher@example.net,7008026,S,CA,O,50,01/05/19,5,7,C,S,N,55.0,Port Louischester,0.7161831365802647,67916.3299050672,Premium,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0,1,0,0,0,0,0,1,1,0,1
dustin17@example.net,8113164,S,CA,M,55,14/10/24,10,5,C,S,S,15.0,New Paul,0.3117517048419588,37384.91120007071,Premium,1,1,1,0,0,1,0,1,1,0,0,0,1.0,0.0,1,1,1,0,1,0,1,0,1,0
linda10@example.com,8569234,S,CA,F,47,17/09/19,5,12,A,S,S,5.0,North Lindsey,0.06847442979900997,20262.582393789813,Business,1,1,1,1,1,1,0,1,0,1,0,0,1.0,,1,0,0,0,0,1,1,0,0,1
monica91@example.org,7666074,S,US,O,47,12/10/24,9,9,C,N,N,49.0,Thomasmouth,0.4527330017642921,49571.85976313488,Individual,0,0,0,0,1,0,1,1,1,0,0,1,,1.0,0,0,1,1,1,1,1,1,0,1
rjohnson@example.org,3375333,S,MX,F,59,01/09/23,4,6,C,S,N,4.0,Lopezfurt,0.6328761255522275,115814.54054780929,Premium,1,0,0,0,1,1,1,1,1,1,0,0,,1.0,0,1,0,1,1,0,0,0,0,1
mitchellkeith@example.org,6752409,N,MX,O,58,27/01/21,9,7,B,N,S,,Mikeborough,0.8731060167420149,48001.832406710346,Individual,1,0,1,1,0,0,1,0,0,0,1,1,,1.0,1,1,1,1,1,1,0,1,0,0
fisheralexis@example.net,9430828,N,MX,O,57,26/01/23,5,17,B,N,N,47.0,Stephaniefort,0.387693320274628,29998.429611629163,Premium,0,0,1,1,1,1,0,0,0,1,0,1,1.0,,0,1,0,1,0,1,0,0,0,0
wagnerhayley@example.net,6358622,N,MX,M,21,19/09/17,4,7,B,N,S,11.0,East Julian,0.7569346935916199,99127.67265488904,Business,0,1,0,0,1,1,1,0,0,0,1,0,0.0,0.0,1,0,0,1,0,0,1,1,0,1
bakerjessica@example.org,7399841,N,MX,F,19,09/05/24,8,16,A,N,N,36.0,South Veronica,0.8607522867429108,120434.05522961442,Individual,0,1,1,1,1,1,0,1,0,0,0,1,,1.0,0,1,0,0,0,1,1,0,1,0
whitakertina@example.com,7785467,S,MX,M,72,08/03/18,1,4,A,S,N,12.0,Jonesstad,,111216.99198856458,Premium,0,1,0,1,1,0,1,0,0,1,0,1,1.0,,0,1,0,1,1,1,0,0,0,0
smithjulia@example.org,1037585,N,CA,F,43,03/02/21,5,19,B,S,N,19.0,Port Ginafort,0.5504461759268137,169113.44471613664,Individual,0,0,0,0,1,1,0,1,0,1,1,1,,,1,1,0,0,0,1,1,0,1,1
gerald04@example.net,4453935,N,US,O,35,19/09/16,4,5,A,S,N,25.0,Bakershire,0.029685251886816144,126630.72619118764,Individual,0,0,1,0,1,1,1,1,0,0,1,1,,,1,0,1,1,1,1,0,1,0,0
patriciahudson@example.net,6400449,N,US,F,37,08/09/17,9,16,A,S,N,36.0,Lake Michael,0.517624264900907,138465.56767767662,Premium,1,1,0,1,0,1,1,0,0,1,0,0,0.0,1.0,1,1,1,1,0,0,0,0,0,1
christine29@example.net,7759209,S,MX,F,56,29/01/24,8,4,B,S,N,42.0,West Ryanborough,0.39649285995223815,60297.74671509712,Premium,0,0,1,0,1,0,1,1,1,0,1,0,1.0,0.0,0,1,1,1,1,0,1,0,0,1
emilydavis@example.net,4234327,S,US,O,49,03/03/23,1,6,C,N,S,25.0,Lauraberg,0.03844862092382384,177181.65529410556,Business,1,1,0,0,0,1,0,0,0,1,1,0,,,0,0,0,0,0,1,0,1,0,1
jsmith@example.org,9618502,S,US,M,45,10/08/23,7,9,A,N,S,24.0,Hillberg,0.06493395221306142,95180.27327372307,Business,1,1,0,0,1,1,1,0,0,1,0,1,1.0,,0,0,0,0,1,1,0,1,1,1
okrause@example.net,3133150,N,CA,O,74,02/02/20,7,17,A,N,N,18.0,Ryanfurt,0.23426898449379485,117156.19501360961,Individual,0,0,0,1,0,0,1,1,1,1,0,1,0.0,,1,0,1,1,1,1,0,1,1,1
harold02@example.com,4347516,N,MX,F,46,12/11/15,9,19,C,S,N,18.0,West Amandahaven,0.7994490201550891,174416.95891697274,Business,1,1,0,1,1,1,0,1,0,0,0,0,,1.0,0,0,0,0,0,1,0,0,1,0
nsullivan@example.com,9873734,S,US,O,80,02/03/18,0,6,B,S,S,41.0,South Brookehaven,0.18039269528986834,158323.32745623353,Individual,1,0,1,0,0,0,1,0,0,0,1,0,,,0,0,1,0,1,1,0,1,1,0
fullersierra@example.org,8556533,S,MX,O,23,20/11/18,8,3,B,S,N,8.0,Pughtown,0.7912949616168147,155508.48545844923,Business,1,0,1,1,0,1,1,1,1,0,1,1,0.0,1.0,0,0,0,1,1,1,0,1,0,1
smithdanielle@example.org,8133087,S,CA,M,31,07/09/19,7,8,C,S,N,49.0,Port Angelicaton,0.7850118370880643,35021.839236433814,Premium,1,1,1,1,0,1,1,1,0,0,1,1,0.0,0.0,1,1,1,0,1,0,0,1,1,1
johnsonkevin@example.org,9968045,S,US,M,77,03/06/24,7,2,C,S,S,12.0,South James,0.7841795526875691,89421.41312909676,Premium,1,0,1,1,1,0,0,1,1,1,1,1,1.0,0.0,1,1,0,1,0,0,0,0,1,0
myersjose@example.com,9732848,S,MX,F,23,25/03/22,1,3,A,S,S,51.0,Karinaville,0.9546275496166672,165086.2041106662,Business,1,0,0,1,1,0,0,1,1,0,0,0,0.0,,0,1,0,0,0,0,0,1,1,1
qprince@example.org,4740840,S,CA,M,57,02/02/22,6,13,C,N,S,40.0,Williamchester,0.1271759475780162,35849.86887629722,Individual,0,0,0,0,1,0,1,1,1,0,1,0,1.0,1.0,1,1,0,1,0,0,1,1,1,0
zrobinson@example.com,9001831,S,MX,M,62,30/06/22,9,19,C,S,N,55.0,New Richard,0.41760216197823496,38624.568978052455,Premium,1,0,0,1,1,1,0,0,0,1,0,0,0.0,1.0,0,1,1,0,0,0,0,1,0,0
manuelwilliamson@example.com,9197899,N,CA,F,23,11/02/21,8,1,C,S,N,36.0,Jessicamouth,0.1827439355328967,39653.72308896758,Premium,1,0,0,1,1,0,0,1,1,1,0,0,0.0,0.0,1,0,1,0,0,0,0,0,1,1
samanthaparker@example.com,9523754,S,US,M,57,24/02/22,5,8,A,S,N,40.0,Cruzview,0.21271065159134328,198774.7554777793,Premium,1,0,1,1,0,0,0,1,1,1,1,1,1.0,1.0,0,1,0,0,1,1,1,1,1,0
patrick83@example.org,1837861,S,CA,F,23,07/09/17,0,5,C,S,S,18.0,South Robertfort,0.5843861672469725,97129.8273598052,Business,0,0,1,0,1,0,1,0,0,0,0,0,0.0,,1,0,0,0,1,0,1,1,0,1
tatedanielle@example.org,8535195,S,US,M,59,18/03/22,1,1,A,N,N,19.0,Lake Douglas,0.5522442464232958,118468.5761396064,Individual,0,0,1,1,0,0,0,0,1,0,1,0,1.0,0.0,1,0,1,1,0,0,1,0,0,1
barrdouglas@example.net,5013482,N,US,F,33,24/11/24,9,17,B,S,N,45.0,West Erica,0.8873524982837263,189671.66639317333,Individual,1,0,1,0,0,1,0,0,1,0,0,0,0.0,,1,1,1,1,0,1,1,0,1,0
dwatts@example.org,9614549,N,US,F,28,01/10/16,9,12,B,N,S,14.0,Hollyside,0.7427867161911029,119015.392987319,Premium,0,1,1,1,1,1,0,1,0,0,0,1,1.0,0.0,0,1,0,0,0,1,1,0,1,0
bcochran@example.org,5761461,N,MX,M,45,13/03/23,0,5,A,N,S,,East Alexandrachester,0.9021630366966844,47422.624895754314,Premium,0,0,0,0,0,0,1,0,0,0,0,0,1.0,,0,0,0,1,0,1,1,1,0,1
taylorbryan@example.org,3464064,N,US,M,34,07/05/24,3,16,A,N,S,44.0,Duncanmouth,0.34998050351857557,80053.08925315633,Business,1,1,0,1,0,0,0,0,1,1,0,0,1.0,1.0,0,1,1,1,0,1,1,0,0,1
arthur03@example.net,5090472,N,CA,O,67,03/08/20,1,6,A,S,S,43.0,Port Ashleyburgh,0.43071737349329675,38223.09129731836,Premium,1,1,0,1,1,1,0,0,0,1,0,1,0.0,,1,1,0,1,0,1,0,1,0,1
jenniferoliver@example.net,3873586,N,CA,F,29,03/12/18,5,15,B,S,S,7.0,Lake Walter,0.5159949986857185,162687.57575857296,Business,0,0,0,0,0,0,0,1,1,1,0,0,1.0,1.0,0,1,0,1,0,0,0,0,1,1
keithsweeney@example.net,1238611,S,MX,O,52,06/09/19,2,8,C,S,S,15.0,Andrewbury,0.17363466279469975,168811.40847900725,Premium,1,0,0,1,1,1,1,1,0,0,0,0,,,0,1,0,0,0,0,0,1,0,0
moralesmichael@example.com,3001426,N,CA,O,20,04/11/16,7,1,C,S,S,,South Paulfurt,0.9916210844472582,66884.75293156375,Premium,0,1,0,1,1,1,1,1,0,1,1,0,,,0,1,0,0,1,0,0,0,1,1
michael33@example.com,8430205,N,MX,F,66,14/10/19,1,4,A,S,N,13.0,Brianview,0.7208953111431243,50956.70420563794,Business,1,1,1,1,1,1,0,0,0,0,1,0,0.0,,1,0,0,1,0,1,1,1,0,0
adyer@example.com,7409517,S,CA,O,60,09/07/23,6,20,C,S,S,2.0,Lake Donna,0.9306236589055911,49482.31231493381,Individual,0,0,1,0,1,0,0,0,1,0,1,0,,1.0,1,1,0,0,0,0,0,1,0,1
gregory80@example.com,4180745,S,MX,O,61,11/06/24,0,9,A,N,S,44.0,Harrisland,0.3471807896805883,94720.90995331063,Premium,0,0,1,0,1,0,0,1,1,1,1,1,0.0,0.0,0,1,0,1,1,0,1,0,0,1
harveydeborah@example.org,5590209,S,US,M,54,10/08/15,8,13,A,N,N,39.0,Moranland,0.7712736707009812,77415.88451953648,Individual,1,1,1,1,1,0,0,0,0,1,1,0,1.0,,0,0,0,1,0,1,1,0,0,0
dennis68@example.org,7575871,S,MX,O,59,16/05/21,0,8,C,N,S,9.0,Reynoldsborough,0.055043535780097685,110378.98556144333,Premium,0,0,0,1,1,1,0,0,0,1,0,0,1.0,1.0,1,0,0,0,0,0,1,1,1,1
zflores@example.net,3524620,S,CA,O,19,17/02/20,6,14,A,S,S,52.0,East Daniel,,133154.12517546338,Premium,1,1,0,0,1,0,0,1,0,0,1,0,,1.0,1,0,1,1,0,1,0,1,0,1
charlottecohen@example.com,6742368,N,CA,M,46,23/06/17,2,20,C,N,N,53.0,Larryhaven,0.6267214303234543,133938.13700569962,Individual,0,1,0,1,1,1,1,0,1,1,0,1,1.0,1.0,0,1,1,0,1,1,1,1,0,0
christophergilbert@example.com,4567574,S,CA,M,62,15/07/21,1,4,C,N,S,5.0,Medinastad,0.7901084215679207,88562.22601078337,Individual,0,1,0,0,0,0,0,1,1,1,0,1,0.0,,0,0,0,0,0,1,1,0,0,1
dennisalvarado@example.org,7339547,N,MX,F,21,05/09/16,7,16,B,N,N,,South Donald,0.38921535203834245,72986.43907788773,Premium,1,0,1,0,1,1,1,0,1,1,0,1,1.0,,0,0,1,1,0,0,1,0,0,1
calebrice@example.net,5218259,S,CA,F,32,27/03/20,3,7,C,N,N,46.0,New Anthonyborough,0.2681720798709545,145006.81845069787,Individual,0,0,0,1,0,1,1,1,0,0,1,0,1.0,1.0,1,1,0,0,1,0,1,1,0,1
john08@example.net,8089877,N,MX,O,59,26/06/23,7,10,A,S,N,3.0,New Richard,0.9680976645501983,129154.44975041415,Individual,1,0,1,0,1,0,1,1,1,0,1,0,0.0,,1,1,1,0,1,1,0,0,1,1
allisonprice@example.com,3843887,S,CA,M,57,25/09/22,0,17,A,S,S,13.0,Smithton,,39024.44097155586,Premium,0,0,0,1,1,0,1,0,1,1,0,1,0.0,1.0,1,1,0,0,1,1,0,1,0,1
nancy86@example.com,1576831,N,MX,O,18,03/08/19,2,12,B,N,S,37.0,New Debra,0.998564765165359,154233.651705578,Business,0,1,0,1,1,1,1,0,0,1,1,1,1.0,0.0,1,0,1,0,0,0,1,1,1,1
crawfordjennifer@example.com,9743824,N,MX,M,78,22/06/21,6,12,B,N,N,3.0,Heatherville,0.4972606427520655,38228.92126709648,Business,1,0,0,0,0,1,0,1,1,0,0,0,0.0,1.0,0,0,0,1,0,1,1,1,1,1
clinejoshua@example.com,9010717,N,CA,O,41,23/02/21,7,4,A,N,S,32.0,Whitestad,0.8489734028926471,143093.90185054275,Business,1,0,1,1,1,1,0,0,1,0,0,0,1.0,1.0,1,1,1,1,0,1,0,0,0,0
robert98@example.com,9800544,S,US,O,30,30/10/19,1,10,C,N,S,23.0,South Jennifershire,0.6067836090505966,157191.09144212765,Individual,0,0,0,1,0,1,0,1,0,1,1,0,0.0,1.0,1,0,1,1,0,1,1,1,1,1
wisemelvin@example.net,4339090,N,MX,F,46,19/03/18,1,4,B,S,N,17.0,South Mariochester,0.8889490281662402,64616.44840376812,Business,1,0,1,1,1,0,0,1,0,0,0,0,0.0,1.0,1,1,0,0,1,1,1,1,1,1
hernandezcarrie@example.org,5466997,N,MX,M,54,14/07/24,10,19,A,N,N,,North Jamieport,0.03724090468418262,57685.3362684504,Premium,0,1,1,1,1,0,0,1,1,0,0,1,0.0,0.0,0,0,1,1,0,0,1,0,0,1
fishermichael@example.com,8679281,N,MX,F,53,16/04/24,2,20,A,N,N,8.0,Charlesmouth,0.3698333374623486,48151.02081911776,Individual,1,1,1,0,0,1,0,0,1,0,1,0,0.0,1.0,1,0,0,1,0,0,1,0,1,0
kenneth05@example.org,9413460,N,US,M,78,05/01/25,4,6,B,N,S,49.0,Lake Karahaven,0.6647328428353356,171108.84449270443,Premium,0,0,1,0,1,1,1,0,0,0,1,1,1.0,,0,1,1,0,0,1,0,1,0,0
jmartin@example.net,5125844,S,US,M,37,01/06/22,9,13,B,N,N,1.0,Lake Aaronshire,0.2657505117755308,23884.24162365273,Individual,0,0,0,1,1,1,1,1,0,1,0,1,0.0,,0,1,1,0,1,1,1,1,0,0
susan29@example.org,8617466,N,MX,M,56,12/03/25,6,4,C,S,S,39.0,West Jennifer,0.6584084312037161,108866.9881931892,Premium,0,1,0,0,0,1,1,0,1,1,1,0,0.0,0.0,0,1,1,0,0,0,0,0,1,0
patrickchavez@example.org,3776462,N,MX,O,55,22/09/15,4,13,C,N,S,18.0,East Kellyland,0.8463767642923172,46341.47454470546,Individual,0,1,0,1,1,1,0,1,0,0,0,0,0.0,1.0,1,0,0,1,1,1,1,0,0,0
jbrennan@example.com,5029646,S,US,F,28,26/03/20,7,15,A,S,N,27.0,Graceton,0.9219230722610869,104276.50289770748,Premium,0,1,0,1,1,1,1,1,0,1,1,1,1.0,,0,1,1,1,1,0,1,0,0,0
lopezamy@example.net,1602401,N,MX,M,23,25/11/16,10,3,C,S,S,13.0,Smithland,0.27095104928648894,139341.7896685258,Business,1,0,0,0,1,1,0,0,1,1,1,0,1.0,1.0,1,0,1,1,1,0,1,1,0,0
zbennett@example.com,3454207,S,MX,F,37,06/02/25,2,3,C,S,N,19.0,North Patricia,0.8596641199186084,158231.4005978676,Business,1,1,0,1,0,0,0,1,1,1,0,1,1.0,,0,1,0,0,0,1,0,0,0,1
travis64@example.com,5632297,N,MX,F,53,15/11/18,9,7,C,S,N,4.0,West Matthewtown,,35812.40897248191,Individual,0,0,1,0,0,0,0,0,1,0,0,1,1.0,,0,1,0,0,0,0,1,0,0,1
ramoschristine@example.com,2742344,S,CA,O,49,18/04/17,6,12,A,S,S,56.0,East Johnmouth,0.8384136714561207,175739.6029498454,Business,0,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0,0,0,1,1,0,1,0,1,1,0
